2010,Actor -- Leading Role,Colin Firth
2010,Actor -- Supporting Role,Christian Bale
2010,Actress -- Leading Role,Natalie Portman
2010,Actress -- Supporting Role,Melissa Leo
2010,Animated Feature Film,Toy Story 3
2010,Art Direction,Alice in Wonderland
2010,Cinematography,Inception
2010,Costume Design,Alice in Wonderland
2010,Directing,The King's Speech
2010,Documentary (Feature),Inside Job
2010,Documentary (Short Subject),Strangers No More
2010,Film Editing,The Social Network
2010,Foreign Language Film,In a Better World
2010,Makeup,The Wolfman
2010,Music (Scoring),The Social Network
2010,Music (Song),Toy Story 3
2010,Best Picture,The King's Speech
2010,Short Film (Animated),The Lost Thing
2010,Short Film (Live Action),God of Love
2010,Sound,Inception
2010,Sound Editing,Inception
2010,Visual Effects,Inception
2010,Writing,The Social Network
2010,Writing,The King's Speech
2010,Irving G. Thalberg Memorial Award,Francis Ford Coppola
2009,Actor -- Leading Role,Jeff Bridges
2009,Actor -- Supporting Role,Christoph Waltz
2009,Actress -- Leading Role,Sandra Bullock
2009,Actress -- Supporting Role,Mo'Nique
2009,Animated Feature Film,Up
2009,Art Direction,Avatar
2009,Cinematography,Avatar
2009,Costume Design,The Young Victoria
2009,Directing,The Hurt Locker
2009,Documentary (Feature),The Cove
2009,Documentary (Short Subject),Music by Prudence
2009,Film Editing,The Hurt Locker
2009,Foreign Language Film,The Secret in Their Eyes
2009,Makeup,Star Trek
2009,Music (Scoring),Up
2009,Music (Song),Crazy Heart
2009,Best Picture,The Hurt Locker
2009,Short Film (Animated),Logorama
2009,Short Film (Live Action),The New Tenants
2009,Sound,The Hurt Locker
2009,Sound Editing,The Hurt Locker
2009,Visual Effects,Avatar
2009,Writing,Precious: Based on the Novel 'Push' by Sapphire
2009,Writing,The Hurt Locker
2009,Irving G. Thalberg Memorial Award,John Calley
2008,Actor -- Leading Role,Sean Penn
2008,Actor -- Supporting Role,Heath Ledger
2008,Actress -- Leading Role,Kate Winslet
2008,Actress -- Supporting Role,Pen�lope Cruz
2008,Animated Feature Film,WALL-E
2008,Art Direction,The Curious Case of Benjamin Button
2008,Cinematography,Slumdog Millionaire
2008,Costume Design,The Duchess
2008,Directing,Slumdog Millionaire
2008,Documentary (Feature),Man on Wire
2008,Documentary (Short Subject),Smile Pinki
2008,Film Editing,Slumdog Millionaire
2008,Foreign Language Film,Departures
2008,Makeup,The Curious Case of Benjamin Button
2008,Music (Scoring),Slumdog Millionaire
2008,Music (Song),Slumdog Millionaire
2008,Best Picture,Slumdog Millionaire
2008,Short Film (Animated),La Maison en Petits Cubes
2008,Short Film (Live Action),Spielzeugland (Toyland)
2008,Sound,Slumdog Millionaire
2008,Sound Editing,The Dark Knight
2008,Visual Effects,The Curious Case of Benjamin Button
2008,Writing,Slumdog Millionaire
2008,Writing,Milk
2007,Actor -- Leading Role,Daniel Day-Lewis
2007,Actor -- Supporting Role,Javier Bardem
2007,Actress -- Leading Role,Marion Cotillard
2007,Actress -- Supporting Role,Tilda Swinton
2007,Animated Feature Film,Ratatouille
2007,Art Direction,Sweeney Todd The Demon Barber of Fleet Street
2007,Cinematography,There Will Be Blood
2007,Costume Design,Elizabeth: The Golden Age
2007,Directing,No Country for Old Men
2007,Documentary (Feature),Taxi to the Dark Side
2007,Documentary (Short Subject),Freeheld
2007,Film Editing,The Bourne Ultimatum
2007,Foreign Language Film,The Counterfeiters
2007,Makeup,La Vie en Rose
2007,Music (Scoring),Atonement
2007,Music (Song),Once
2007,Best Picture,No Country for Old Men
2007,Short Film (Animated),Peter & the Wolf
2007,Short Film (Live Action),Le Mozart des Pickpockets (The Mozart of Pickpockets)
2007,Sound,The Bourne Ultimatum
2007,Sound Editing,The Bourne Ultimatum
2007,Visual Effects,The Golden Compass
2007,Writing,No Country for Old Men
2007,Writing,Juno
2006,Actor -- Leading Role,Forest Whitaker
2006,Actor -- Supporting Role,Alan Arkin
2006,Actress -- Leading Role,Helen Mirren
