Year,Category,Nominee
2010 (83rd),Actor -- Leading Role,Colin Firth
2010 (83rd),Actor -- Supporting Role,Christian Bale
2010 (83rd),Actress -- Leading Role,Natalie Portman
2010 (83rd),Actress -- Supporting Role,Melissa Leo
2010 (83rd),Animated Feature Film,Toy Story 3
2010 (83rd),Art Direction,Alice in Wonderland
2010 (83rd),Cinematography,Inception
2010 (83rd),Costume Design,Alice in Wonderland
2010 (83rd),Directing,The King's Speech
2010 (83rd),Documentary (Feature),Inside Job
2010 (83rd),Documentary (Short Subject),Strangers No More
2010 (83rd),Film Editing,The Social Network
2010 (83rd),Foreign Language Film,In a Better World
2010 (83rd),Makeup,The Wolfman
2010 (83rd),Music (Scoring),The Social Network
2010 (83rd),Music (Song),Toy Story 3
2010 (83rd),Best Picture,The King's Speech
2010 (83rd),Short Film (Animated),The Lost Thing
2010 (83rd),Short Film (Live Action),God of Love
2010 (83rd),Sound,Inception
2010 (83rd),Sound Editing,Inception
2010 (83rd),Visual Effects,Inception
2010 (83rd),Writing,The Social Network
2010 (83rd),Writing,The King's Speech
2010 (83rd),Irving G. Thalberg Memorial Award,Francis Ford Coppola
2009 (82nd),Actor -- Leading Role,Jeff Bridges
2009 (82nd),Actor -- Supporting Role,Christoph Waltz
2009 (82nd),Actress -- Leading Role,Sandra Bullock
2009 (82nd),Actress -- Supporting Role,Mo'Nique
2009 (82nd),Animated Feature Film,Up
2009 (82nd),Art Direction,Avatar
2009 (82nd),Cinematography,Avatar
2009 (82nd),Costume Design,The Young Victoria
2009 (82nd),Directing,The Hurt Locker
2009 (82nd),Documentary (Feature),The Cove
2009 (82nd),Documentary (Short Subject),Music by Prudence
2009 (82nd),Film Editing,The Hurt Locker
2009 (82nd),Foreign Language Film,The Secret in Their Eyes
2009 (82nd),Makeup,Star Trek
2009 (82nd),Music (Scoring),Up
2009 (82nd),Music (Song),Crazy Heart
2009 (82nd),Best Picture,The Hurt Locker
2009 (82nd),Short Film (Animated),Logorama
2009 (82nd),Short Film (Live Action),The New Tenants
2009 (82nd),Sound,The Hurt Locker
2009 (82nd),Sound Editing,The Hurt Locker
2009 (82nd),Visual Effects,Avatar
2009 (82nd),Writing,Precious: Based on the Novel 'Push' by Sapphire
2009 (82nd),Writing,The Hurt Locker
2009 (82nd),Irving G. Thalberg Memorial Award,John Calley
2008 (81st),Actor -- Leading Role,Sean Penn
2008 (81st),Actor -- Supporting Role,Heath Ledger
2008 (81st),Actress -- Leading Role,Kate Winslet
2008 (81st),Actress -- Supporting Role,Penélope Cruz
2008 (81st),Animated Feature Film,WALL-E
2008 (81st),Art Direction,The Curious Case of Benjamin Button
2008 (81st),Cinematography,Slumdog Millionaire
2008 (81st),Costume Design,The Duchess
2008 (81st),Directing,Slumdog Millionaire
2008 (81st),Documentary (Feature),Man on Wire
2008 (81st),Documentary (Short Subject),Smile Pinki
2008 (81st),Film Editing,Slumdog Millionaire
2008 (81st),Foreign Language Film,Departures
2008 (81st),Makeup,The Curious Case of Benjamin Button
2008 (81st),Music (Scoring),Slumdog Millionaire
2008 (81st),Music (Song),Slumdog Millionaire
2008 (81st),Best Picture,Slumdog Millionaire
2008 (81st),Short Film (Animated),La Maison en Petits Cubes
2008 (81st),Short Film (Live Action),Spielzeugland (Toyland)
2008 (81st),Sound,Slumdog Millionaire
2008 (81st),Sound Editing,The Dark Knight
2008 (81st),Visual Effects,The Curious Case of Benjamin Button
2008 (81st),Writing,Slumdog Millionaire
2008 (81st),Writing,Milk
2007 (80th),Actor -- Leading Role,Daniel Day-Lewis
2007 (80th),Actor -- Supporting Role,Javier Bardem
2007 (80th),Actress -- Leading Role,Marion Cotillard
2007 (80th),Actress -- Supporting Role,Tilda Swinton
2007 (80th),Animated Feature Film,Ratatouille
2007 (80th),Art Direction,Sweeney Todd The Demon Barber of Fleet Street
2007 (80th),Cinematography,There Will Be Blood
2007 (80th),Costume Design,Elizabeth: The Golden Age
2007 (80th),Directing,No Country for Old Men
2007 (80th),Documentary (Feature),Taxi to the Dark Side
2007 (80th),Documentary (Short Subject),Freeheld
2007 (80th),Film Editing,The Bourne Ultimatum
2007 (80th),Foreign Language Film,The Counterfeiters
2007 (80th),Makeup,La Vie en Rose
2007 (80th),Music (Scoring),Atonement
2007 (80th),Music (Song),Once
2007 (80th),Best Picture,No Country for Old Men
2007 (80th),Short Film (Animated),Peter & the Wolf
2007 (80th),Short Film (Live Action),Le Mozart des Pickpockets (The Mozart of Pickpockets)
2007 (80th),Sound,The Bourne Ultimatum
2007 (80th),Sound Editing,The Bourne Ultimatum
2007 (80th),Visual Effects,The Golden Compass
2007 (80th),Writing,No Country for Old Men
2007 (80th),Writing,Juno
2006 (79th),Actor -- Leading Role,Forest Whitaker
2006 (79th),Actor -- Supporting Role,Alan Arkin
2006 (79th),Actress -- Leading Role,Helen Mirren
2006 (79th),Actress -- Supporting Role,Jennifer Hudson
2006 (79th),Animated Feature Film,Happy Feet
2006 (79th),Art Direction,Pan's Labyrinth
2006 (79th),Cinematography,Pan's Labyrinth
2006 (79th),Costume Design,Marie Antoinette
2006 (79th),Directing,The Departed
2006 (79th),Documentary (Feature),An Inconvenient Truth
2006 (79th),Documentary (Short Subject),The Blood of Yingzhou District
2006 (79th),Film Editing,The Departed
2006 (79th),Foreign Language Film,The Lives of Others
2006 (79th),Makeup,Pan's Labyrinth
2006 (79th),Music (Scoring),Babel
2006 (79th),Music (Song),An Inconvenient Truth
2006 (79th),Best Picture,The Departed
2006 (79th),Short Film (Animated),The Danish Poet
2006 (79th),Short Film (Live Action),West Bank Story
2006 (79th),Sound,Dreamgirls
2006 (79th),Sound Editing,Letters from Iwo Jima
2006 (79th),Visual Effects,Pirates of the Caribbean: Dead Man's Chest
2006 (79th),Writing,The Departed
2006 (79th),Writing,Little Miss Sunshine
2005 (78th),Actor -- Leading Role,Philip Seymour Hoffman
2005 (78th),Actor -- Supporting Role,George Clooney
2005 (78th),Actress -- Leading Role,Reese Witherspoon
2005 (78th),Actress -- Supporting Role,Rachel Weisz
2005 (78th),Animated Feature Film,Wallace & Gromit in The Curse of the Were-Rabbit
2005 (78th),Art Direction,Memoirs of a Geisha
2005 (78th),Cinematography,Memoirs of a Geisha
2005 (78th),Costume Design,Memoirs of a Geisha
